protocol,hop_count,packet_count,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p50_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,retransmissions,collision_or_conflict_events,contention_attempts,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,total_frames_sent,total_bytes_sent,queue_overflow_drops,maximum_queue_length,average_queue_delay,maximum_queue_delay,active_reservations_after_run,terminal_sessions,simulation_end_time,wall_clock_runtime,platform,sensitivity_type,scenario_id,load_level,interarrival_time,successful_hops,difs_starts,segment_queue_entries,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,ack_frames_sent,ack_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,per_flow_metrics,flow_count,jain_fairness,multiflow_scenario,traffic_type
Fixed-PRMAC,4,200,37,2.2986660000000483,200,193,7,0.965,0.3780305284974241,,0.6990028000000486,0.7237177600000477,0.7346660000000471,687814.5846329858,123,130,521,2702,73240,782,827356,4266,911544,0,,,,0,200,,0.11099760000070091,python,burst,python-burst-4hop-high-seed-37-Fixed-PRMAC,high,0.007859296482412067,782,521,398,59,0.17901726633166537,0.6319980000000582,782,10948,21.33,4557.72,379.4818652849741,398,391,,,,,
DCF,4,200,47,3.9763890000001583,200,200,0,1.0,1.476046815000047,1.4678715000000095,2.4493340500001306,2.462507970000119,2.470384000000119,412032.12261173007,187,91,987,800,11200,987,1044246,1787,1055446,0,0,0.3512030062500111,0.0,0,200,3.9763890000001583,0.42269409999789787,python,burst,python-burst-4hop-high-seed-47-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,47,2.211480000000049,200,196,4,0.98,0.3106232959183792,,0.611508500000049,0.6364246000000486,0.647480000000048,726044.0971656828,49,53,449,2482,66540,792,837936,4066,915564,0,,,,0,200,,0.1039664999989327,python,burst,python-burst-4hop-high-seed-47-Fixed-PRMAC,high,0.007859296482412067,792,449,400,48,0.1455267800000057,0.4735220000000562,792,11088,20.33,4577.82,339.48979591836735,400,396,,,,,
DCF,4,200,57,4.022137000000155,200,200,0,1.0,1.478481270000041,1.5632300000000035,2.4476952000001537,2.463039920000151,2.475607000000153,407345.6473511312,209,100,1009,800,11200,1009,1067522,1809,1078722,0,0,0.35243273625000965,0.0,0,200,4.022137000000155,0.4352227000017592,python,burst,python-burst-4hop-high-seed-57-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,57,2.216128000000058,200,192,8,0.96,0.3645680937500146,,0.616354900000058,0.6408188800000574,0.6521280000000569,709735.1777514471,78,86,475,2584,69740,778,823124,4140,903756,0,,,,0,200,,0.10739920000196435,python,burst,python-burst-4hop-high-seed-57-Fixed-PRMAC,high,0.007859296482412067,778,475,397,60,0.17190724433250068,0.6312440000000559,778,10892,20.7,4518.78,363.2291666666667,397,389,,,,,
DCF,4,200,67,3.9826320000001822,200,200,0,1.0,1.6818381300000658,2.1382005000000444,2.5952603000001204,2.6061664800001174,2.6245120000001227,411386.23904993606,187,91,987,800,11200,987,1044246,1787,1055446,0,0,0.40345287500001586,0.0,0,200,3.9826320000001822,0.408884799999214,python,burst,python-burst-4hop-high-seed-67-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,67,2.2886820000000507,200,190,10,0.95,0.35257263157896135,,0.6890511000000514,0.7133841200000506,0.7246820000000496,680077.0050185939,122,132,519,2678,72600,774,818892,4226,902328,0,,,,0,200,,0.12292669999806094,python,burst,python-burst-4hop-high-seed-67-Fixed-PRMAC,high,0.007859296482412067,774,519,397,54,0.16767028715365928,0.6425920000000562,774,10836,21.13,4511.64,382.10526315789474,397,387,,,,,
DCF,4,200,77,4.004887000000162,200,200,0,1.0,1.5590645150000477,1.8378155000000231,2.4641478000001333,2.4853412600001454,2.492577000000148,409100.1818528048,204,97,1004,800,11200,1004,1062232,1804,1073432,0,0,0.3715803700000113,0.0,0,200,4.004887000000162,0.4287633999992977,python,burst,python-burst-4hop-high-seed-77-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,77,2.2374380000000533,200,193,7,0.965,0.3691553264248868,,0.6372988000000542,0.6619945600000532,0.6734380000000522,706636.7872539763,80,87,480,2558,68880,786,831588,4130,911472,0,,,,0,200,,0.11613209999995888,python,burst,python-burst-4hop-high-seed-77-Fixed-PRMAC,high,0.007859296482412067,786,480,400,53,0.17282322500000766,0.5292940000000568,786,11004,20.65,4557.36,356.8911917098446,400,393,,,,,
DCF,4,200,87,3.9750700000001764,200,200,0,1.0,1.4085674800000447,1.6810895000000214,2.3953257000001664,2.4139469400001623,2.419228000000169,412168.84230967687,183,89,983,800,11200,983,1040014,1783,1051214,0,0,0.33541930250001056,0.0,0,200,3.9750700000001764,0.43611109999983455,python,burst,python-burst-4hop-high-seed-87-DCF,high,,,,,,,,,,,,,,,,,,,
